모아 · 한 달 [67,159][1013,1377] clickable=false
9월 [114,211][768,296] clickable=false
moa [768,222][861,285] clickable=false
↻ [861,201][966,306] clickable=true
기기에 저장된 일정 [114,306][966,349] clickable=false
일 [119,380][230,423] clickable=false
월 [240,380][351,423] clickable=false
화 [361,380][473,423] clickable=false
수 [483,380][595,423] clickable=false
목 [605,380][717,423] clickable=false
금 [727,380][839,423] clickable=false
토 [849,380][961,423] clickable=false
8월 30일 일정 0개 [117,428][232,596] clickable=true
30 [145,433][203,480] clickable=false
8월 31일 일정 0개 [238,428][353,596] clickable=true
31 [266,433][324,480] clickable=false
9월 1일 일정 0개 [359,428][475,596] clickable=true
1 [388,433][446,480] clickable=false
9월 2일 일정 0개 [481,428][597,596] clickable=true
2 [510,433][568,480] clickable=false
9월 3일 일정 0개 [603,428][719,596] clickable=true
3 [632,433][690,480] clickable=false
9월 4일 일정 0개 [725,428][841,596] clickable=true
4 [754,433][812,480] clickable=false
9월 5일 일정 0개 [847,428][963,596] clickable=true
5 [876,433][934,480] clickable=false
9월 6일 일정 0개 [117,596][232,764] clickable=true
6 [145,601][203,648] clickable=false
9월 7일 일정 0개 [238,596][353,764] clickable=true
7 [266,601][324,648] clickable=false
9월 8일 일정 0개 [359,596][475,764] clickable=true
8 [388,601][446,648] clickable=false
9월 9일 일정 5개: ExternalSync, MoaSyncB2, MoaSyncB3, MoaSyncB4, MoaSyncB5 [481,596][597,764] clickable=true
9 [510,601][568,648] clickable=false
ExternalSync [481,651][597,685] clickable=false
MoaSyncB2 [481,688][597,722] clickable=false
+2 MoaSyncB3 [481,725][597,759] clickable=false
9월 10일 일정 0개 [603,596][719,764] clickable=true
10 [632,601][690,648] clickable=false
9월 11일 일정 0개 [725,596][841,764] clickable=true
11 [754,601][812,648] clickable=false
9월 12일 일정 0개 [847,596][963,764] clickable=true
12 [876,601][934,648] clickable=false
9월 13일 일정 0개 [117,764][232,933] clickable=true
13 [145,769][203,816] clickable=false
9월 14일 일정 0개 [238,764][353,933] clickable=true
14 [266,769][324,816] clickable=false
9월 15일 일정 0개 [359,764][475,933] clickable=true
15 [388,769][446,816] clickable=false
9월 16일 일정 0개 [481,764][597,933] clickable=true
16 [510,769][568,816] clickable=false
9월 17일 일정 0개 [603,764][719,933] clickable=true
17 [632,769][690,816] clickable=false
9월 18일 일정 0개 [725,764][841,933] clickable=true
18 [754,769][812,816] clickable=false
9월 19일 일정 0개 [847,764][963,933] clickable=true
19 [876,769][934,816] clickable=false
9월 20일 일정 0개 [117,933][232,1102] clickable=true
20 [145,938][203,985] clickable=false
9월 21일 일정 0개 [238,933][353,1102] clickable=true
21 [266,938][324,985] clickable=false
9월 22일 일정 0개 [359,933][475,1102] clickable=true
22 [388,938][446,985] clickable=false
9월 23일 일정 0개 [481,933][597,1102] clickable=true
23 [510,938][568,985] clickable=false
9월 24일 일정 0개 [603,933][719,1102] clickable=true
24 [632,938][690,985] clickable=false
9월 25일 일정 0개 [725,933][841,1102] clickable=true
25 [754,938][812,985] clickable=false
9월 26일 일정 0개 [847,933][963,1102] clickable=true
26 [876,938][934,985] clickable=false
9월 27일 일정 0개 [117,1102][232,1271] clickable=true
27 [145,1107][203,1154] clickable=false
9월 28일 일정 0개 [238,1102][353,1271] clickable=true
28 [266,1107][324,1154] clickable=false
9월 29일 일정 0개 [359,1102][475,1271] clickable=true
29 [388,1107][446,1154] clickable=false
9월 30일 일정 0개 [481,1102][597,1271] clickable=true
30 [510,1107][568,1154] clickable=false
10월 1일 일정 0개 [603,1102][719,1271] clickable=true
1 [632,1107][690,1154] clickable=false
10월 2일 일정 0개 [725,1102][841,1271] clickable=true
2 [754,1107][812,1154] clickable=false
10월 3일 일정 0개 [847,1102][963,1271] clickable=true
3 [876,1107][934,1154] clickable=false
오늘 5개의 일정  → [114,1292][966,1335] clickable=true
홈 [0,128][1080,2337] clickable=false
휴대전화 [83,1873][256,2068] clickable=true
메시지 [330,1873][503,2068] clickable=true
Chrome [577,1873][750,2068] clickable=true
Gmail [824,1873][997,2068] clickable=true
Google 검색 [90,2125][990,2290] clickable=true
Google 앱 [101,2144][227,2270] clickable=true
음성 검색 [727,2125][853,2290] clickable=true
Google 렌즈 [853,2125][979,2290] clickable=true
