시트 닫기 [0,0][1080,311] clickable=true
드래그 핸들 [498,369][582,380] clickable=false
일정 상세 [63,458][298,545] clickable=false
닫기 [926,473][984,531] clickable=false
등록된 계정 [63,564][200,604] clickable=false
Google · moa-b@example.test [63,617][477,654] clickable=false
MoaFixtureb [63,662][218,696] clickable=false
MoaSyncB1 [63,749][1017,917] clickable=true
일정 제목 [105,747][235,793] clickable=false
MoaFixtureb · moa-b@example.test [270,992][811,1032] clickable=false
하루 종일 [63,1128][880,1184] clickable=false
하루 종일 [880,1114][1017,1198] clickable=false
시작 [63,1287][168,1336] clickable=false
2026. 9. 9 [200,1292][350,1332] clickable=false
18:00 [899,1292][984,1332] clickable=false
종료 [63,1435][168,1484] clickable=false
2026. 9. 9 [200,1440][350,1480] clickable=false
18:25 [899,1440][984,1480] clickable=false
장소 [200,1626][272,1682] clickable=false
메모 [105,1826][177,1882] clickable=false
일정 저장 [474,2055][606,2104] clickable=false
일정 삭제 [474,2187][606,2236] clickable=false
