moa [158,162][302,252] clickable=false
일상을 한곳에 [326,187][489,227] clickable=false
일정 새로고침 [814,178][872,236] clickable=false
일정 검색 [930,178][988,236] clickable=false
Google 계정 · 기기 동기화 설정 열기 ↗ [74,312][534,352] clickable=false
N [143,478][185,549] clickable=false
NAVER Calendar [252,463][544,510] clickable=false
CalDAV로 개인 일정을 연결하세요 [252,523][652,563] clickable=false
계정 연결 [478,650][602,695] clickable=false
네이버의 Android CalDAV는 공식 지원 대상이 아니며, 실제 연결 확인이 필요해요. [63,806][1015,846] clickable=false
표시할 캘린더 [63,925][257,974] clickable=false
Google · moa-b@example.test [63,1043][439,1077] clickable=false
Moa012b [161,1144][304,1184] clickable=false
Google · moa-b@example.test [161,1184][511,1214] clickable=false
Moa012b 표시 [838,1137][975,1221] clickable=false
NAVER · 연결 필요 [63,1297][284,1337] clickable=false
Task fixture collection [161,1382][496,1422] clickable=false
NAVER · fixture-user · 읽기 전용 [161,1422][514,1459] clickable=false
할 일 목록 [161,1459][269,1496] clickable=false
Task fixture collection 표시 [838,1397][975,1481] clickable=false
이 기기의 다른 캘린더 [63,1557][318,1597] clickable=false
Moa012local [161,1661][358,1701] clickable=false
기기 캘린더 · moa-a@example.test [161,1701][553,1738] clickable=false
Moa012local 표시 [838,1657][975,1741] clickable=false
자동 동기화 [105,1891][268,1940] clickable=false
Google · 기기 동기화 후 자동 반영
NAVER · 앱 사용 중 1분, 백그라운드 약 30분 [105,1958][625,2038] clickable=false
앱을 다시 열 때도 확인해요. 절전 상태에서는 갱신이 늦어질 수 있어요. [105,2054][851,2091] clickable=false
캘린더 [134,2264][206,2301] clickable=false
일정 [392,2264][440,2301] clickable=false
위젯 [639,2264][687,2301] clickable=false
설정 [886,2264][934,2301] clickable=false
