모아 · 한 달 [67,223][1013,1441] clickable=false
9월 [93,248][770,345] clickable=false
moa [770,258][882,335] clickable=false
↻ [882,244][987,349] clickable=true
기기에 저장된 일정 [93,349][987,405] clickable=false
일 [98,421][215,464] clickable=false
월 [225,421][342,464] clickable=false
화 [352,421][470,464] clickable=false
수 [480,421][598,464] clickable=false
목 [608,421][726,464] clickable=false
금 [736,421][854,464] clickable=false
토 [864,421][982,464] clickable=false
8월 30일 일정 0개 [96,469][217,603] clickable=true
30 [127,474][185,521] clickable=false
8월 31일 일정 0개 [223,469][344,603] clickable=true
31 [254,474][312,521] clickable=false
9월 1일 일정 0개 [350,469][472,603] clickable=true
1 [382,474][440,521] clickable=false
9월 2일 일정 0개 [478,469][600,603] clickable=true
2 [510,474][568,521] clickable=false
9월 3일 일정 0개 [606,469][728,603] clickable=true
3 [638,474][696,521] clickable=false
9월 4일 일정 0개 [734,469][856,603] clickable=true
4 [766,474][824,521] clickable=false
9월 5일 일정 0개 [862,469][984,603] clickable=true
5 [894,474][952,521] clickable=false
9월 6일 일정 0개 [96,603][217,949] clickable=true
6 [127,608][185,655] clickable=false
9월 7일 일정 0개 [223,603][344,949] clickable=true
7 [254,608][312,655] clickable=false
9월 8일 일정 0개 [350,603][472,949] clickable=true
8 [382,608][440,655] clickable=false
9월 9일 일정 5개: 구글 팀 회의, □ 네이버 서류 제출, 네이버 도서관 방문, 네이버 학교 상담과 준비물 확인, 네이버 저녁 약속 [478,603][600,949] clickable=true
9 [510,608][568,655] clickable=false
구글 팀 회의 [478,658][600,708] clickable=false
□ 네이버 서류 제출 [478,711][600,761] clickable=false
네이버 도서관 방문 [478,764][600,814] clickable=false
+2 [478,817][600,867] clickable=false
9월 10일 일정 1개: 네이버 산책 [606,603][728,949] clickable=true
10 [638,608][696,655] clickable=false
네이버 산책 [606,658][728,708] clickable=false
9월 11일 일정 0개 [734,603][856,949] clickable=true
11 [766,608][824,655] clickable=false
9월 12일 일정 0개 [862,603][984,949] clickable=true
12 [894,608][952,655] clickable=false
9월 13일 일정 0개 [96,949][217,1083] clickable=true
13 [127,954][185,1001] clickable=false
9월 14일 일정 0개 [223,949][344,1083] clickable=true
14 [254,954][312,1001] clickable=false
9월 15일 일정 0개 [350,949][472,1083] clickable=true
15 [382,954][440,1001] clickable=false
9월 16일 일정 0개 [478,949][600,1083] clickable=true
16 [510,954][568,1001] clickable=false
9월 17일 일정 0개 [606,949][728,1083] clickable=true
17 [638,954][696,1001] clickable=false
9월 18일 일정 0개 [734,949][856,1083] clickable=true
18 [766,954][824,1001] clickable=false
9월 19일 일정 0개 [862,949][984,1083] clickable=true
19 [894,954][952,1001] clickable=false
9월 20일 일정 0개 [96,1083][217,1218] clickable=true
20 [127,1088][185,1135] clickable=false
9월 21일 일정 0개 [223,1083][344,1218] clickable=true
21 [254,1088][312,1135] clickable=false
9월 22일 일정 0개 [350,1083][472,1218] clickable=true
22 [382,1088][440,1135] clickable=false
9월 23일 일정 0개 [478,1083][600,1218] clickable=true
23 [510,1088][568,1135] clickable=false
9월 24일 일정 0개 [606,1083][728,1218] clickable=true
24 [638,1088][696,1135] clickable=false
9월 25일 일정 0개 [734,1083][856,1218] clickable=true
25 [766,1088][824,1135] clickable=false
9월 26일 일정 0개 [862,1083][984,1218] clickable=true
26 [894,1088][952,1135] clickable=false
9월 27일 일정 0개 [96,1218][217,1353] clickable=true
27 [127,1223][185,1270] clickable=false
9월 28일 일정 0개 [223,1218][344,1353] clickable=true
28 [254,1223][312,1270] clickable=false
9월 29일 일정 0개 [350,1218][472,1353] clickable=true
29 [382,1223][440,1270] clickable=false
9월 30일 일정 0개 [478,1218][600,1353] clickable=true
30 [510,1223][568,1270] clickable=false
10월 1일 일정 0개 [606,1218][728,1353] clickable=true
1 [638,1223][696,1270] clickable=false
10월 2일 일정 0개 [734,1218][856,1353] clickable=true
2 [766,1223][824,1270] clickable=false
10월 3일 일정 0개 [862,1218][984,1353] clickable=true
3 [894,1223][952,1270] clickable=false
오늘 5개의 일정  → [93,1364][987,1420] clickable=true
홈 [0,128][1080,2337] clickable=false
휴대전화 [83,1873][256,2068] clickable=true
메시지 [330,1873][503,2068] clickable=true
Chrome [577,1873][750,2068] clickable=true
Gmail [824,1873][997,2068] clickable=true
Google 검색 [90,2125][990,2290] clickable=true
Google 앱 [101,2144][227,2270] clickable=true
음성 검색 [727,2125][853,2290] clickable=true
Google 렌즈 [853,2125][979,2290] clickable=true
