모아 · 한 달 [67,223][1013,1441] clickable=false
9월 [93,254][789,339] clickable=false
moa [789,265][882,328] clickable=false
↻ [882,244][987,349] clickable=true
기기에 저장된 일정 [93,349][987,392] clickable=false
일 [98,408][215,451] clickable=false
월 [225,408][342,451] clickable=false
화 [352,408][470,451] clickable=false
수 [480,408][598,451] clickable=false
목 [608,408][726,451] clickable=false
금 [736,408][854,451] clickable=false
토 [864,408][982,451] clickable=false
8월 30일 일정 0개 [96,456][217,606] clickable=true
30 [127,461][185,508] clickable=false
8월 31일 일정 0개 [223,456][344,606] clickable=true
31 [254,461][312,508] clickable=false
9월 1일 일정 0개 [350,456][472,606] clickable=true
1 [382,461][440,508] clickable=false
9월 2일 일정 0개 [478,456][600,606] clickable=true
2 [510,461][568,508] clickable=false
9월 3일 일정 0개 [606,456][728,606] clickable=true
3 [638,461][696,508] clickable=false
9월 4일 일정 0개 [734,456][856,606] clickable=true
4 [766,461][824,508] clickable=false
9월 5일 일정 0개 [862,456][984,606] clickable=true
5 [894,461][952,508] clickable=false
9월 6일 일정 0개 [96,606][217,916] clickable=true
6 [127,611][185,658] clickable=false
9월 7일 일정 0개 [223,606][344,916] clickable=true
7 [254,611][312,658] clickable=false
9월 8일 일정 0개 [350,606][472,916] clickable=true
8 [382,611][440,658] clickable=false
9월 9일 일정 5개: 구글 팀 회의, □ 네이버 서류 제출, 네이버 도서관 방문, 네이버 학교 상담과 준비물 확인, 네이버 저녁 약속 [478,606][600,916] clickable=true
9 [510,611][568,658] clickable=false
구글 팀 회의 [478,661][600,698] clickable=false
□ 네이버 서류 제출 [478,701][600,738] clickable=false
네이버 도서관 방문 [478,741][600,778] clickable=false
+2 [478,781][600,818] clickable=false
9월 10일 일정 1개: 네이버 산책 [606,606][728,916] clickable=true
10 [638,611][696,658] clickable=false
네이버 산책 [606,661][728,698] clickable=false
9월 11일 일정 0개 [734,606][856,916] clickable=true
11 [766,611][824,658] clickable=false
9월 12일 일정 0개 [862,606][984,916] clickable=true
12 [894,611][952,658] clickable=false
9월 13일 일정 0개 [96,916][217,1066] clickable=true
13 [127,921][185,968] clickable=false
9월 14일 일정 0개 [223,916][344,1066] clickable=true
14 [254,921][312,968] clickable=false
9월 15일 일정 0개 [350,916][472,1066] clickable=true
15 [382,921][440,968] clickable=false
9월 16일 일정 0개 [478,916][600,1066] clickable=true
16 [510,921][568,968] clickable=false
9월 17일 일정 0개 [606,916][728,1066] clickable=true
17 [638,921][696,968] clickable=false
9월 18일 일정 0개 [734,916][856,1066] clickable=true
18 [766,921][824,968] clickable=false
9월 19일 일정 0개 [862,916][984,1066] clickable=true
19 [894,921][952,968] clickable=false
9월 20일 일정 0개 [96,1066][217,1216] clickable=true
20 [127,1071][185,1118] clickable=false
9월 21일 일정 0개 [223,1066][344,1216] clickable=true
21 [254,1071][312,1118] clickable=false
9월 22일 일정 0개 [350,1066][472,1216] clickable=true
22 [382,1071][440,1118] clickable=false
9월 23일 일정 0개 [478,1066][600,1216] clickable=true
23 [510,1071][568,1118] clickable=false
9월 24일 일정 0개 [606,1066][728,1216] clickable=true
24 [638,1071][696,1118] clickable=false
9월 25일 일정 0개 [734,1066][856,1216] clickable=true
25 [766,1071][824,1118] clickable=false
9월 26일 일정 0개 [862,1066][984,1216] clickable=true
26 [894,1071][952,1118] clickable=false
9월 27일 일정 0개 [96,1216][217,1366] clickable=true
27 [127,1221][185,1268] clickable=false
9월 28일 일정 0개 [223,1216][344,1366] clickable=true
28 [254,1221][312,1268] clickable=false
9월 29일 일정 0개 [350,1216][472,1366] clickable=true
29 [382,1221][440,1268] clickable=false
9월 30일 일정 0개 [478,1216][600,1366] clickable=true
30 [510,1221][568,1268] clickable=false
10월 1일 일정 0개 [606,1216][728,1366] clickable=true
1 [638,1221][696,1268] clickable=false
10월 2일 일정 0개 [734,1216][856,1366] clickable=true
2 [766,1221][824,1268] clickable=false
10월 3일 일정 0개 [862,1216][984,1366] clickable=true
3 [894,1221][952,1268] clickable=false
오늘 5개의 일정  → [93,1377][987,1420] clickable=true
홈 [0,128][1080,2337] clickable=false
휴대전화 [83,1873][256,2068] clickable=true
메시지 [330,1873][503,2068] clickable=true
Chrome [577,1873][750,2068] clickable=true
Gmail [824,1873][997,2068] clickable=true
Google 검색 [90,2125][990,2290] clickable=true
Google 앱 [101,2144][227,2270] clickable=true
음성 검색 [727,2125][853,2290] clickable=true
Google 렌즈 [853,2125][979,2290] clickable=true
