시트 닫기 [0,0][1080,487] clickable=true
드래그 핸들 [498,545][582,556] clickable=false
새로운 일정 [63,634][353,721] clickable=false
닫기 [926,649][984,707] clickable=false
선택한 원본 캘린더에 저장해요 [63,740][422,780] clickable=false
ㅇㄷㄴ샤ㅜㅁ샤ㅐㅜ ㅃㅁ [63,833][1017,1001] clickable=true
일정 제목 [105,831][235,877] clickable=false
저장 캘린더 선택 [63,1033][1017,1201] clickable=false
My Calendar [216,1070][418,1113] clickable=false
기기 캘린더 [216,1124][353,1164] clickable=false
하루 종일 [63,1254][880,1310] clickable=false
하루 종일 [880,1240][1017,1324] clickable=false
시작 [63,1413][168,1462] clickable=false
2026. 9. 9 [200,1418][350,1458] clickable=false
10:00 [899,1418][984,1458] clickable=false
종료 [63,1561][168,1610] clickable=false
2026. 9. 9 [200,1566][350,1606] clickable=false
11:00 [899,1566][984,1606] clickable=false
장소 [200,1752][272,1808] clickable=false
메모 [105,1952][177,2008] clickable=false
일정 저장 [474,2181][606,2230] clickable=false
