시트 닫기 [0,0][1080,401] clickable=true
드래그 핸들 [498,459][582,470] clickable=false
일정 상세 [63,548][298,635] clickable=false
닫기 [926,563][984,621] clickable=false
캘린더 선택 테스트 [63,707][1017,875] clickable=true
일정 제목 [105,705][235,751] clickable=false
원본 캘린더 [63,907][1017,1075] clickable=false
My Calendar [216,944][418,987] clickable=false
기기 캘린더 · second-local-user [216,998][594,1038] clickable=false
하루 종일 [63,1128][880,1184] clickable=false
하루 종일 [880,1114][1017,1198] clickable=false
시작 [63,1287][168,1336] clickable=false
2026. 9. 9 [200,1292][350,1332] clickable=false
10:00 [899,1292][984,1332] clickable=false
종료 [63,1435][168,1484] clickable=false
2026. 9. 9 [200,1440][350,1480] clickable=false
11:00 [899,1440][984,1480] clickable=false
장소 [200,1626][272,1682] clickable=false
메모 [105,1826][177,1882] clickable=false
일정 저장 [474,2055][606,2104] clickable=false
일정 삭제 [474,2187][606,2236] clickable=false
