모아 · 한 달 [67,223][1013,1441] clickable=false
9월 [93,248][770,345] clickable=false
moa [770,258][882,335] clickable=false
↻ [882,244][987,349] clickable=true
기기에 저장된 일정 [93,349][987,405] clickable=false
일 [98,421][215,464] clickable=false
월 [225,421][342,464] clickable=false
화 [352,421][470,464] clickable=false
수 [480,421][598,464] clickable=false
목 [608,421][726,464] clickable=false
금 [736,421][854,464] clickable=false
토 [864,421][982,464] clickable=false
8월 30일 일정 0개 [93,469][220,582] clickable=true
8월 31일 일정 0개 [220,469][347,582] clickable=true
9월 1일 일정 0개 [347,469][475,582] clickable=true
9월 2일 일정 0개 [475,469][603,582] clickable=true
9월 3일 일정 0개 [603,469][731,582] clickable=true
9월 4일 일정 0개 [731,469][859,582] clickable=true
9월 5일 일정 0개 [859,469][987,582] clickable=true
30 [127,474][185,521] clickable=false
31 [254,474][312,521] clickable=false
1 [382,474][440,521] clickable=false
2 [510,474][568,521] clickable=false
3 [638,474][696,521] clickable=false
4 [766,474][824,521] clickable=false
5 [894,474][952,521] clickable=false
9월 6일 일정 0개 [93,582][220,907] clickable=true
9월 7일 일정 0개 [220,582][347,907] clickable=true
9월 8일 일정 0개 [347,582][475,907] clickable=true
9월 9일 일정 0개 [475,582][603,907] clickable=true
9월 10일 일정 0개 [603,582][731,907] clickable=true
9월 11일 일정 6개: 기획 회의, 검토 일정, 점심 약속, 자료 제출, 다섯 번째 일정, 연차 [731,582][859,907] clickable=true
9월 12일 일정 2개: 연차, 주말 여행 [859,582][987,907] clickable=true
6 [127,587][185,634] clickable=false
7 [254,587][312,634] clickable=false
8 [382,587][440,634] clickable=false
9 [510,587][568,634] clickable=false
10 [638,587][696,634] clickable=false
11 [766,587][824,634] clickable=false
12 [894,587][952,634] clickable=false
연차 [734,638][984,688] clickable=false
기획 회의 [734,691][856,741] clickable=false
주말 여행 › [862,691][984,741] clickable=false
검토 일정 [734,744][856,794] clickable=false
+3 [734,797][856,847] clickable=false
9월 13일 일정 1개: 주말 여행 [93,907][220,1073] clickable=true
9월 14일 일정 1개: 주말 여행 [220,907][347,1073] clickable=true
9월 15일 일정 0개 [347,907][475,1073] clickable=true
9월 16일 일정 0개 [475,907][603,1073] clickable=true
9월 17일 일정 0개 [603,907][731,1073] clickable=true
9월 18일 일정 0개 [731,907][859,1073] clickable=true
9월 19일 일정 0개 [859,907][987,1073] clickable=true
13 [127,912][185,959] clickable=false
14 [254,912][312,959] clickable=false
15 [382,912][440,959] clickable=false
16 [510,912][568,959] clickable=false
17 [638,912][696,959] clickable=false
18 [766,912][824,959] clickable=false
19 [894,912][952,959] clickable=false
‹ 주말 여행 [96,963][345,1013] clickable=false
9월 20일 일정 0개 [93,1073][220,1186] clickable=true
9월 21일 일정 0개 [220,1073][347,1186] clickable=true
9월 22일 일정 0개 [347,1073][475,1186] clickable=true
9월 23일 일정 0개 [475,1073][603,1186] clickable=true
9월 24일 일정 0개 [603,1073][731,1186] clickable=true
9월 25일 일정 0개 [731,1073][859,1186] clickable=true
9월 26일 일정 0개 [859,1073][987,1186] clickable=true
20 [127,1078][185,1125] clickable=false
21 [254,1078][312,1125] clickable=false
22 [382,1078][440,1125] clickable=false
23 [510,1078][568,1125] clickable=false
24 [638,1078][696,1125] clickable=false
25 [766,1078][824,1125] clickable=false
26 [894,1078][952,1125] clickable=false
9월 27일 일정 0개 [93,1186][220,1353] clickable=true
9월 28일 일정 0개 [220,1186][347,1353] clickable=true
9월 29일 일정 0개 [347,1186][475,1353] clickable=true
9월 30일 일정 1개: 월말 출장 [475,1186][603,1353] clickable=true
10월 1일 일정 1개: 월말 출장 [603,1186][731,1353] clickable=true
10월 2일 일정 1개: 월말 출장 [731,1186][859,1353] clickable=true
10월 3일 일정 0개 [859,1186][987,1353] clickable=true
27 [127,1191][185,1238] clickable=false
28 [254,1191][312,1238] clickable=false
29 [382,1191][440,1238] clickable=false
30 [510,1191][568,1238] clickable=false
1 [638,1191][696,1238] clickable=false
2 [766,1191][824,1238] clickable=false
3 [894,1191][952,1238] clickable=false
월말 출장 [479,1242][856,1292] clickable=false
오늘 0개의 일정  → [93,1364][987,1420] clickable=true
홈 [0,128][1080,2337] clickable=false
휴대전화 [83,1873][256,2068] clickable=true
메시지 [330,1873][503,2068] clickable=true
Chrome [577,1873][750,2068] clickable=true
Gmail [824,1873][997,2068] clickable=true
Google 검색 [90,2125][990,2290] clickable=true
Google 앱 [101,2144][227,2270] clickable=true
음성 검색 [727,2125][853,2290] clickable=true
Google 렌즈 [853,2125][979,2290] clickable=true
