모아 · 한 달 [67,223][1013,1441] clickable=false
9월 [93,254][789,339] clickable=false
moa [789,265][882,328] clickable=false
↻ [882,244][987,349] clickable=true
기기에 저장된 일정 [93,349][987,392] clickable=false
일 [98,408][215,451] clickable=false
월 [225,408][342,451] clickable=false
화 [352,408][470,451] clickable=false
수 [480,408][598,451] clickable=false
목 [608,408][726,451] clickable=false
금 [736,408][854,451] clickable=false
토 [864,408][982,451] clickable=false
8월 30일 일정 0개 [93,456][220,590] clickable=true
8월 31일 일정 0개 [220,456][347,590] clickable=true
9월 1일 일정 0개 [347,456][475,590] clickable=true
9월 2일 일정 0개 [475,456][603,590] clickable=true
9월 3일 일정 0개 [603,456][731,590] clickable=true
9월 4일 일정 0개 [731,456][859,590] clickable=true
9월 5일 일정 0개 [859,456][987,590] clickable=true
30 [127,461][185,508] clickable=false
31 [254,461][312,508] clickable=false
1 [382,461][440,508] clickable=false
2 [510,461][568,508] clickable=false
3 [638,461][696,508] clickable=false
4 [766,461][824,508] clickable=false
5 [894,461][952,508] clickable=false
9월 6일 일정 0개 [93,590][220,884] clickable=true
9월 7일 일정 0개 [220,590][347,884] clickable=true
9월 8일 일정 0개 [347,590][475,884] clickable=true
9월 9일 일정 0개 [475,590][603,884] clickable=true
9월 10일 일정 0개 [603,590][731,884] clickable=true
9월 11일 일정 6개: 기획 회의, 검토 일정, 점심 약속, 자료 제출, 다섯 번째 일정, 연차 [731,590][859,884] clickable=true
9월 12일 일정 2개: 연차, 주말 여행 [859,590][987,884] clickable=true
6 [127,595][185,642] clickable=false
7 [254,595][312,642] clickable=false
8 [382,595][440,642] clickable=false
9 [510,595][568,642] clickable=false
10 [638,595][696,642] clickable=false
11 [766,595][824,642] clickable=false
12 [894,595][952,642] clickable=false
연차 [734,646][984,683] clickable=false
기획 회의 [734,686][856,723] clickable=false
주말 여행 › [862,686][984,723] clickable=false
검토 일정 [734,726][856,763] clickable=false
+3 [734,766][856,803] clickable=false
9월 13일 일정 1개: 주말 여행 [93,884][220,1058] clickable=true
9월 14일 일정 1개: 주말 여행 [220,884][347,1058] clickable=true
9월 15일 일정 0개 [347,884][475,1058] clickable=true
9월 16일 일정 0개 [475,884][603,1058] clickable=true
9월 17일 일정 0개 [603,884][731,1058] clickable=true
9월 18일 일정 0개 [731,884][859,1058] clickable=true
9월 19일 일정 0개 [859,884][987,1058] clickable=true
13 [127,889][185,936] clickable=false
14 [254,889][312,936] clickable=false
15 [382,889][440,936] clickable=false
16 [510,889][568,936] clickable=false
17 [638,889][696,936] clickable=false
18 [766,889][824,936] clickable=false
19 [894,889][952,936] clickable=false
‹ 주말 여행 [96,940][345,977] clickable=false
9월 20일 일정 0개 [93,1058][220,1192] clickable=true
9월 21일 일정 0개 [220,1058][347,1192] clickable=true
9월 22일 일정 0개 [347,1058][475,1192] clickable=true
9월 23일 일정 0개 [475,1058][603,1192] clickable=true
9월 24일 일정 0개 [603,1058][731,1192] clickable=true
9월 25일 일정 0개 [731,1058][859,1192] clickable=true
9월 26일 일정 0개 [859,1058][987,1192] clickable=true
20 [127,1063][185,1110] clickable=false
21 [254,1063][312,1110] clickable=false
22 [382,1063][440,1110] clickable=false
23 [510,1063][568,1110] clickable=false
24 [638,1063][696,1110] clickable=false
25 [766,1063][824,1110] clickable=false
26 [894,1063][952,1110] clickable=false
9월 27일 일정 0개 [93,1192][220,1366] clickable=true
9월 28일 일정 0개 [220,1192][347,1366] clickable=true
9월 29일 일정 0개 [347,1192][475,1366] clickable=true
9월 30일 일정 1개: 월말 출장 [475,1192][603,1366] clickable=true
10월 1일 일정 1개: 월말 출장 [603,1192][731,1366] clickable=true
10월 2일 일정 1개: 월말 출장 [731,1192][859,1366] clickable=true
10월 3일 일정 0개 [859,1192][987,1366] clickable=true
27 [127,1197][185,1244] clickable=false
28 [254,1197][312,1244] clickable=false
29 [382,1197][440,1244] clickable=false
30 [510,1197][568,1244] clickable=false
1 [638,1197][696,1244] clickable=false
2 [766,1197][824,1244] clickable=false
3 [894,1197][952,1244] clickable=false
월말 출장 [479,1248][856,1285] clickable=false
오늘 0개의 일정  → [93,1377][987,1420] clickable=true
홈 [0,128][1080,2337] clickable=false
휴대전화 [83,1873][256,2068] clickable=true
메시지 [330,1873][503,2068] clickable=true
Chrome [577,1873][750,2068] clickable=true
Gmail [824,1873][997,2068] clickable=true
Google 검색 [90,2125][990,2290] clickable=true
Google 앱 [101,2144][227,2270] clickable=true
음성 검색 [727,2125][853,2290] clickable=true
Google 렌즈 [853,2125][979,2290] clickable=true
