시트 닫기 [0,0][1080,679] clickable=true
드래그 핸들 [498,737][582,748] clickable=false
일정 상세 [63,826][891,913] clickable=false
닫기 [926,841][984,899] clickable=false
반복 일정은 원본 캘린더에서 수정해 주세요. [63,932][634,977] clickable=false
반복 일정 확인 [63,1009][1017,1177] clickable=true
일정 제목 [105,1007][235,1053] clickable=false
원본 캘린더 [63,1209][1017,1380] clickable=false
G [128,1271][157,1320] clickable=false
나의 캘린더 [216,1246][390,1298] clickable=false
Google · moa-edit-fixture@example.test [216,1309][709,1343] clickable=false
하루 종일 [63,1433][880,1489] clickable=false
하루 종일 [880,1419][1017,1503] clickable=false
시작 [63,1592][168,1641] clickable=false
2026. 9. 10 [200,1597][369,1637] clickable=false
종료 [63,1740][168,1789] clickable=false
2026. 9. 10 [200,1745][369,1785] clickable=false
장소 [200,1931][272,1987] clickable=false
메모 [105,2131][177,2187] clickable=false
